GEOID_c1,GEOID_c2,n
08031002100,08001007801,.0084506801881543
08031001701,08001007801,.034570964599266
08001009207,08001007801,.0053186097204016
08031006901,08001007801,.0447388941970984
08031004202,08001007801,.2535204070612838
08005006858,08001007801,.0104186464774074
08031004403,08001007801,.0161821526475365
08031004405,08001007802,.0090007243601651
08031015300,08001007802,.0265312045006064
08005087200,08001007802,.063380101765321
08031015500,08001007802,.0362172006039961
08031002703,08001007900,.1901402996293403
08031006811,08001007900,.0040671722641297
08005004952,08001007900,.1521122419701213
08031002702,08001007900,.0800590741246299
08031004404,08001007900,.0411114171315613
08005087200,08001007900,.004554258843416
08005086800,08001007900,.0055113131353907
08031004403,08001007900,.032364305295073
08005086900,08001008000,.0064182376513444
08031008388,08001008000,.0092751362217591
08031002000,08001008000,.0271629011613249
08031002902,08001008000,.1267602035306419
08031000402,08001008000,.0380280604925303
08031015300,08001008000,.0362819892241186
08031005002,08001008000,.0400295370623149
08031002702,08001008000,.0371005448870365
08031004405,08001008000,.0090007243601651
08031015500,08001008000,.0535026829036291
08031007088,08001008000,.0067306300503013
08031004403,08001008000,.0349614416397336
08001009326,08001008000,.003765154388494
08035014115,08001008000,.0253520405644628
08031001701,08001008000,.0497563385143879
08059009824,08001008100,.1170094166821463
08031002000,08001008100,.0454066376602487
08031003703,08001008100,.1086516046452995
08031001600,08001008100,.268589803630181
08001008100,08001008100,.3042244726069975
08031003500,08001008100,.156012555576195
08005087200,08001008100,.0202816324515703
08031007037,08001008100,.0165339394061721
08005006858,08001008100,.0482896026942023
08031004405,08001008100,.1269558698808751
08031015300,08001008100,.0122671157395302
08031004101,08001008100,.0146261774394322
08031008388,08001008100,.0046375681108796
08031003201,08001008100,.1901402996293403
08031003003,08001008200,.0176874696670709
08005006858,08001008200,.0088437348335355
08005086900,08001008200,.0128364753026889
08059011805,08001008200,.0058504707632745
08031002702,08001008200,.0371005448870365
08031005104,08001008200,.0281689334882957
08005086300,08001008200,.005761827433211
08031004404,08001008200,.0205557085657807
08059009831,08001008200,.0067907252903312
08031006809,08001008200,.0149129652045847
08031004202,08001008308,.2535204070612838
08031004306,08001008308,.0211267001162218
08031008388,08001008308,.0046375681108796
08001009326,08001008308,.007530308776988
08031007088,08001008308,.0122671157395302
