GEOID_c2,GEOID_c3,n
25025070700,25009201100,.0014002444441906
25017384002,25009201100,.0003246405522874
25009204101,25009201100,.00687999656304
25025000704,25009201100,.0041114017755213
25025060600,25009201100,.0198535131837004
25025070300,25009201100,.0277748025562627
25009205500,25009201100,.0006121793306039
25009206700,25009201100,.249973226396479
25021417602,25009201100,.0011791189942619
25025170701,25009201100,.00781166332489
25025020301,25009201100,.0075559830106521
25009202102,25009201100,.0038091159058193
25009217100,25009202101,.0037874729867177
25025030300,25009202101,.0026312972162244
25025040600,25009202101,.008023293920214
25009203302,25009202101,.00687999656304
25025010104,25009202101,.0070747142352396
25017352300,25009202101,.0141307484223681
25009204200,25009202101,.0022933322560266
25017352102,25009202101,.0010987834052344
25021400100,25009202101,.0055134511266205
25025160602,25009202101,.0015038496960546
25009204702,25009202102,.00343999828152
25009205800,25009202102,.0004047056816865
25017341902,25009202102,.0057366813718706
25009211401,25009202102,.0005870212682677
25009204701,25009202102,.0010955847180927
25009217400,25009202102,.0053040140531396
25009206600,25009202102,.0624933065991197
25009202102,25009202102,.0085705107880933
25009211401,25009202200,.0001467553170669
25009206600,25009202200,.0576861302115306
25009210300,25009202200,.0006786603687029
25009260401,25009202200,.0000801196247639
25025070101,25009202200,.0029261007439328
25017382500,25009202200,.0056683273884994
25009202200,25009202200,.0267994307312469
25009204400,25009202200,.01375999312608
25025030400,25009202200,.002272483754005
25025010701,25009202200,.0343189615733897
25025061200,25009202200,.0011431702414233
25025010403,25009202200,.017439992696969
25025010600,25009202200,.0293019502676697
25025040801,25009202200,.0018069890714003
25025170501,25009202200,.0031012405610508
25017352102,25009202200,.004497269586307
25025020101,25009202200,.004831245262091
25025020303,25009202200,.0067575963866807
25009206900,25009202200,.016342075604297
25009202102,25009202200,.0028568369293644
25009204500,25009203100,.0014158723539239
25025060600,25009203100,.0206749708370227
25009217400,25009203100,.0004047056816865
25009203100,25009203100,.021224140840421
25021400900,25009203100,.0012491867379693
25017332200,25009203100,.0000554387314141
25017353102,25009203100,.0330736912337344
25009203302,25009203100,.0107131382257046
25009215101,25009203100,.0064095702118431
25021417300,25009203100,.0005093251861405
25025070101,25009203100,.0147503477754467
25009202200,25009203100,.0382958347646802
25025030200,25009203100,.0089276154705968
25009211100,25009203100,.0010061534301738
25025010802,25009203100,.0053565691128523
25025020303,25009203100,.0490593716495412
25021400400,25009203100,.0018095154718412
25025180101,25009203100,.0004328540604757
25025010600,25009203100,.0087881207107957
25025000602,25009203100,.0070304966733992
25009210300,25009203100,.0013573207374057
25025160602,25009203100,.0030076993921093
25025010404,25009203100,.0016481751492455
25017354600,25009203100,.001281914037968
25009202102,25009203100,.0019045579529096
25009204102,25009203200,.0057245775452289
25021417901,25009203200,.0004038028986578
25017339100,25009203200,.0060603081365982
25009252501,25009203200,.0004493900775773
25017310100,25009203200,.0013391423405443
25025060600,25009203200,.0021808914458125
25009204500,25009203200,.0056634894156957
25009204101,25009203200,.0041662204681923
25017384002,25009203200,.0010878367127249
25009217600,25009203200,.001333190506768
25021417300,25009203200,.0099384455514487
