GEOID_c0,GEOID_c1,n
48201510200,48039660100,1
48201510100,48039660100,1
48201310200,48039660200,1
48201411900,48039660200,2
48201100000,48039660200,2
48201100000,48039660300,1
48201411501,48039660400,1
48201410600,48039660400,1
48201510200,48039660400,2
48201510100,48039660500,1
48201312600,48039660601,1
48201100000,48039660601,1
48201411000,48039660602,4
48201510100,48039660602,1
48201312600,48039660602,5
48201411900,48039660602,1
48201510600,48039660602,5
48201410701,48039660602,2
48201410800,48039660602,1
48201410600,48039660602,2
48201412000,48039660701,6
48201410600,48039660701,1
48201511500,48039660701,1
48201510800,48039660701,2
48201411501,48039660702,2
48201410100,48039660801,1
48201511500,48039662000,1
48201510800,48039663100,1
48201312600,48039663300,1
48201411300,48039663300,1
48201313100,48039663400,1
48201510600,48039663400,1
48201100000,48039663600,1
48201510600,48071710100,1
48201510600,48071710200,1
48201411000,48157670500,2
48201411300,48157670700,1
48201410300,48157670901,1
48201410600,48157670901,1
48201411501,48157670901,1
48201100000,48157670901,3
48201412000,48157670901,1
48201510900,48157670901,1
48201411000,48157671300,1
48201312600,48157671400,1
48201510900,48157671400,1
48201412000,48157671400,1
48201313100,48157671400,1
48201411300,48157671501,1
48201411501,48157671502,1
48201411501,48157671601,1
48201100000,48157671601,3
48201510600,48157671602,1
48201310200,48157671700,1
48201510800,48157671700,1
48201411300,48157671800,1
48201510800,48157672001,1
48201410200,48157672002,1
48201410600,48157672002,1
48201410100,48157672002,1
48201411300,48157672002,1
48201411501,48157672100,1
48201100000,48157672100,1
48201312600,48157672301,1
48201411501,48157672301,1
48201411000,48157672302,1
48201410600,48157672302,1
48201100000,48157672400,1
48201410100,48157672500,1
48201100000,48157672601,1
48201411300,48157672701,1
48201510900,48157672800,1
48201510900,48157672900,1
48201411300,48157672900,1
48201410100,48157672900,1
48201411000,48157672900,1
48201411501,48157672900,1
48201100000,48157672900,1
48201510200,48157673001,1
48201410100,48157673001,1
48201410800,48157673003,1
48201410600,48157673003,1
48201410100,48157673003,3
48201510200,48157673003,1
48201310200,48157673101,2
48201510800,48157673101,1
48201410100,48157673101,1
48201410600,48157673101,2
48201411501,48157673101,2
48201411000,48157673101,4
48201510600,48157673101,2
48201100000,48157673102,3
48201310200,48157673102,1
48201410100,48157673102,2
48201411900,48157673102,1
48201510800,48157673200,1
48201411501,48157673200,1
48201411000,48157673300,1
48201100000,48157673300,1
48201100000,48157673400,1
48201411900,48157673400,2
48201411300,48157673500,1
48201100000,48157673500,1
48201312600,48157673500,1
48201510200,48157673800,1
48201411300,48157673800,1
48201411000,48157673901,1
48201411501,48157673902,2
48201510100,48157673902,1
48201410800,48157673902,1
48201510900,48157674000,1
48201100000,48157674000,2
48201411501,48157674000,2
48201411300,48157674000,1
48201410600,48157674100,1
48201411000,48157674100,1
