GEOID_c0,GEOID_c1,n
48113010000,48085030203,1
48113000500,48085030304,1
48113000900,48085030403,1
48113000404,48085030404,1
48113001900,48085030404,1
48113001900,48085030405,1
48113000500,48085030407,1
48113010000,48085030408,1
48113000500,48085030408,1
48113000500,48085030504,1
48113001800,48085030505,1
48113003101,48085030505,1
48113001900,48085030505,1
48113020400,48085030505,1
48113001800,48085030507,1
48113010000,48085030508,1
48113000500,48085030508,1
48113010000,48085030510,1
48113001900,48085030511,3
48113003101,48085030511,1
48113000500,48085030513,2
48113000701,48085030513,1
48113000702,48085030514,1
48113010000,48085030514,1
48113000404,48085030517,1
48113002100,48085030517,1
48113010000,48085030517,1
48113000500,48085030519,1
48113000500,48085030523,2
48113001704,48085030523,3
48113001900,48085030523,1
48113003101,48085030525,1
48113001900,48085030525,1
48113003101,48085030526,1
48113000701,48085030528,1
48113002100,48085030528,1
48113010000,48085030529,1
48113001900,48085030530,2
48113000900,48085030530,1
48113000500,48085030530,3
48113000702,48085030530,1
48113000701,48085030601,1
48113001703,48085030605,1
48113000500,48085030802,1
48113003101,48085031201,1
48113001900,48085031309,2
48113000603,48085031310,1
48113000701,48085031313,1
48113000605,48085031315,1
48113001900,48085031315,1
48113003101,48085031315,1
48113000701,48085031316,1
48113010000,48085031317,1
48113010000,48085031405,2
48113001900,48085031405,2
48113000701,48085031405,1
48113020400,48085031405,1
48113000900,48085031405,2
48113001800,48085031406,1
48113010000,48085031406,1
48113000404,48085031410,1
48113000500,48085031504,1
48113000500,48085031506,1
48113010000,48085031507,1
48113000500,48085031508,1
48113010000,48085031508,1
48113001703,48085031508,1
48113003101,48085031612,1
48113002100,48085031621,1
48113003101,48085031621,1
48113020400,48085031621,2
48113000500,48085031621,1
48113000500,48085031622,1
48113000701,48085031624,1
48113000605,48085031630,2
48113000500,48085031632,1
48113003101,48085031632,1
48113000404,48085031633,1
48113000701,48085031636,2
48113001701,48085031636,1
48113001900,48085031636,1
48113001900,48085031638,1
48113003101,48085031639,1
48113000900,48085031639,1
48113000500,48085031639,1
48113001900,48085031640,2
48113001701,48085031641,1
48113001900,48085031641,3
48113001800,48085031641,1
48113001900,48085031642,1
48113000701,48085031642,1
48113010000,48085031643,1
48113002100,48085031646,2
48113001704,48085031646,1
48113001900,48085031646,1
48113001800,48085031646,2
48113010000,48085031646,1
48113010000,48085031647,1
48113000500,48085031648,1
48113002100,48085031648,1
48113001900,48085031648,2
48113001704,48085031648,1
48113003101,48085031649,1
48113001900,48085031649,2
48113001704,48085031652,1
48113001900,48085031652,1
48113000500,48085031652,1
48113001800,48085031653,2
48113001900,48085031653,1
48113000500,48085031653,1
48113000900,48085031654,1
48113000701,48085031655,1
48113000500,48085031657,1
48113000701,48085031657,2
48113001900,48085031657,4
48113002100,48085031657,1
48113001701,48085031657,1
48113010000,48085031657,8
48113010000,48085031658,2
48113000701,48085031658,1
48113000500,48085031658,1
48113001800,48085031658,4
48113001900,48085031658,2
48113002100,48085031659,1
48113000500,48085031660,1
48113000701,48085031660,1
48113000500,48085031662,1
48113000900,48085031663,1
48113010000,48085031663,1
48113001900,48085031664,1
48113000500,48085031704,1
48113000702,48085031704,1
48113010000,48085031704,1
48113001900,48085031704,1
48113001800,48085031706,2
48113000702,48085031706,1
48113001900,48085031706,2
48113020400,48085031709,1
48113000500,48085031709,2
48113000701,48085031709,1
48113001701,48085031709,1
48113010000,48085031711,1
48113003101,48085031711,1
48113003101,48085031713,1
48113010000,48085031713,3
48113000500,48085031714,1
48113003101,48085031714,1
48113020400,48085031714,2
48113010000,48085031715,1
48113001704,48085031715,1
48113000500,48085031717,1
48113001900,48085031717,1
48113000404,48085031718,1
48113000701,48085031720,1
48113020400,48085031720,1
48113001704,48085031802,1
48113001800,48085031802,1
48113000404,48085031804,1
48113001900,48085031804,1
48113001701,48085031806,1
48113000701,48085031806,2
48113000603,48085031806,1
48113000701,48085031807,1
48113010000,48085031900,1
48113000900,48085032004,2
48113002100,48085032004,2
48113010000,48085032009,3
48113010000,48085032012,3
48113000603,48113000100,1
48113000900,48113000100,1
48113001900,48113000100,2
48113001704,48113000100,1
48113000701,48113000201,1
48113010000,48113000201,1
48113001703,48113000202,1
48113001701,48113000202,1
48113003101,48113000202,3
48113000701,48113000202,1
48113000500,48113000202,1
48113001701,48113000300,1
48113000500,48113000300,3
48113001703,48113000300,1
48113000701,48113000300,3
48113000900,48113000300,2
48113010000,48113000300,2
48113000702,48113000300,1
48113001704,48113000300,1
48113001800,48113000300,2
48113001900,48113000300,5
48113020400,48113000300,1
48113001701,48113000401,1
48113000500,48113000401,4
48113000603,48113000401,1
48113002100,48113000401,2
48113000404,48113000401,11
48113010000,48113000401,7
48113000701,48113000404,1
48113002100,48113000404,1
48113000900,48113000404,2
48113020400,48113000404,1
48113010000,48113000404,11
48113000500,48113000404,10
48113001900,48113000404,3
48113000702,48113000404,1
48113003101,48113000404,2
48113000404,48113000404,11
48113001800,48113000405,2
48113000500,48113000405,1
48113002100,48113000405,1
48113000404,48113000405,1
48113010000,48113000405,1
48113001900,48113000405,3
48113000603,48113000405,1
48113000603,48113000406,1
