GEOID_c0,GEOID_c1,n
36061011800,34003002300,1
36061014500,34003006100,1
36061013500,34003006202,1
36061013500,34003012001,1
36061013500,34003013002,1
36061008800,34003015400,1
36061009000,34003016000,1
36061013500,34003018200,2
36061011100,34003019103,1
36061012900,34003019202,1
36061013300,34003019203,1
36061001501,34003019303,1
36061013300,34003019303,1
36061011500,34003019305,3
36061005800,34003022200,1
36061012900,34003022200,1
36061015500,34003023100,1
36061009900,34003023302,1
36061013500,34003023402,1
36061009900,34003031400,1
36061007000,34003047100,1
36061002100,34003047200,1
36061012900,34003047300,2
36061008900,34003047500,1
36061031703,34003061400,2
36061013500,34013001100,1
36061015500,34013010700,1
36061001501,34013014800,1
36061009900,34013014900,1
36061009900,34013016600,1
36061005800,34013017400,1
36061011800,34013019100,1
36061009900,34013019500,2
36061009900,34013020000,1
36061009900,34013020100,3
36061013300,34013020400,2
36061001501,34013021602,1
36061012900,34017001100,1
36061012900,34017002000,2
36061009900,34017002000,1
36061013500,34017003500,1
36061015500,34017004300,1
36061012900,34017004300,1
36061012900,34017005802,1
36061013500,34017006400,1
36061031703,34017006400,1
36061001501,34017007000,1
36061003300,34017007000,1
36061013500,34017007100,1
36061009900,34017007100,1
36061014500,34017007300,1
36061001501,34017007300,1
36061001502,34017007400,1
36061013500,34017007400,1
36061011500,34017007400,1
36061015500,34017007400,1
36061008800,34017007600,1
36061011100,34017007600,1
36061001502,34017007600,2
36061012900,34017007600,1
36061011500,34017007600,2
36061013500,34017007600,1
36061001502,34017007700,2
36061008800,34017007700,2
36061009300,34017007700,1
36061012900,34017007700,4
36061013200,34017007700,2
36061001501,34017007700,4
36061011800,34017007700,1
36061011500,34017007700,1
36061031703,34017007700,2
36061012900,34017007800,2
36061008800,34017007800,1
36061009900,34017010400,1
36061013500,34017013800,2
36061011500,34017014101,2
36061016300,34017014101,1
36061001300,34017014200,1
36061009900,34017015001,2
36061007000,34017015201,1
36061013500,34017015300,1
36061012600,34017015600,3
36061011100,34017017900,1
36061009900,34017017900,1
36061011100,34017018000,1
36061009900,34017018100,1
36061015500,34017018301,1
36061014500,34017018301,1
36061005800,34017018302,2
36061012900,34017018302,1
36061009900,34017018302,1
36061004700,34017018302,1
36061001501,34017018302,1
36061009900,34017018500,1
