GEOID_c3,GEOID_c4,n
06001404400,06001400100,.0046859670004607
06075020402,06001400100,.0008013862748865
06001425102,06001400100,.0029461704153748
06001425101,06001400100,.0008492541866266
06001403100,06001400100,.0034810794664782
06001403400,06001400100,.0006210875124833
06001403501,06001400100,.0032329715994667
06013354002,06001400100,.016449934301958
06075012302,06001400100,.0092972057409345
06001403300,06001400100,.0016502646430496
06075061500,06001400100,.0180916307040968
06075013102,06001400100,.0043514744422346
06001404102,06001400100,.0022401132845152
06001404101,06001400100,.0126024443997129
06001405302,06001400100,.0020669990291933
06075015500,06001400100,.0009487011865569
06013345203,06001400100,.006748608312008
06001402800,06001400100,.0005686936568444
06013336101,06001400100,9.22798079442e-06
06075016000,06001400100,.0038887845773076
06013392200,06001400100,.0001308555873925
06001403900,06001400100,.0976689438647791
06013324001,06001400200,.00460912127187
06001402800,06001400200,.0043183198611794
06001400400,06001400200,.0001305734556106
06001403501,06001400200,.0227676523392353
06081603400,06001400200,.0002611527121757
06075012100,06001400200,.035086299507499
06001423700,06001400200,.0001162725646295
06075030800,06001400200,.0025727391371043
06075032602,06001400200,.0002782183490289
06001403702,06001400200,.0082108391466775
06001404000,06001400200,.0016355429174082
06075060700,06001400200,.015833349381631
06075012700,06001400200,.0188768865188055
06001427900,06001400200,.0032556316640891
06001403600,06001400200,.0006527582318756
06075047901,06001400300,.0054260523851553
06001400700,06001400300,.0035938790098533
06001428400,06001400300,.0001861466423098
06075061500,06001400300,.0352864334414696
06075010100,06001400300,.0194973644552941
06001442302,06001400300,.0000604995366015
06001405402,06001400300,.000904342045042
06001404900,06001400300,.0156270301236605
06001404101,06001400300,.0062990204874733
06001404400,06001400300,.0054043150321038
06075011100,06001400300,.0025702353648626
06001404000,06001400300,.0048709532432447
06075060700,06001400300,.0328083403481614
06013338204,06001400300,.0072235890585293
06013337200,06001400300,.0000596269509183
06075016400,06001400300,.0051697527202774
06001403100,06001400300,.0034810794664782
06001433104,06001400300,.0008814602506766
06001400300,06001400300,.0099619308362502
06001403400,06001400300,.0038579912779356
06001402900,06001400300,.0122896571133057
06001401100,06001400300,.0056992866567785
06001404300,06001400300,.0154551993881154
06001427300,06001400300,.0011432540618314
06001406000,06001400300,.0010039293323864
06001425103,06001400300,.0004895686187361
06001436601,06001400300,.0002999416188783
06075045200,06001400300,.0022495361710441
06001425104,06001400300,.0006678218568974
06075013400,06001400300,.0065413570763856
06001403900,06001400300,.0028613439232352
06001403300,06001400300,.0027017846273799
06013387000,06001400300,.0054597547735937
06075017601,06001400400,.0075986627186675
06001403400,06001400400,.000270678603015
06013352201,06001400400,.0312540636953901
06001405200,06001400400,.0001973110047023
06013339002,06001400400,.0001288693123681
06001401100,06001400400,.0005515422698062
06001403702,06001400400,.0003404582303852
06001425101,06001400400,.0007358355814148
06075061500,06001400400,.0164186978545569
06001400400,06001400400,.0026531460177321
06001404101,06001400400,.0054260523851553
06001403000,06001400400,.0018500192735339
06001401300,06001400400,.0011250612773197
06001404000,06001400400,.0006226248784726
06075011200,06001400400,.0021842948366589
06001404300,06001400400,.0009519389620799
06001403300,06001400400,.0114865291866627
06001403600,06001400400,.0013288293671121
06041124100,06001400400,.002628600600479
06075020500,06001400400,.0156270319876275
06075020600,06001400400,.0088859587166265
06001437200,06001400400,.0000726867545656
06001400800,06001400400,.0116788128954807
06001403800,06001400400,.0007737117330576
06001404400,06001400400,.0096060903565692
06001436500,06001400400,.000136339721059
06001403100,06001400400,.0019169468955627
06001406800,06001400400,.0010335338542189
06001425103,06001400400,.0003237392746393
06001400900,06001400400,.0021418628817175
06001406000,06001400400,.0010039293323864
06001404700,06001400400,.0025164300916662
06001404102,06001400400,.0000865531297669
06013365003,06001400400,.0001261869385369
06075013101,06001400400,.0045800352788799
06001402800,06001400500,.0039678463736552
06001425103,06001400500,.0021706717546685
06001401700,06001400500,.0015503007498656
06001400200,06001400500,.0002824077315705
06013336102,06001400500,.0001621229669247
06013328000,06001400500,.0010561076940697
