GEOID_c6,GEOID_c7,n
08031008389,08001007801,.0003603358302449
08005081900,08001007801,.00079151500546
08059010502,08001007801,.0007095262458522
08005087000,08001007801,.0006746074708676
08005084400,08001007801,.0006534567794323
08005087100,08001007801,.0007866645648826
08031004602,08001007801,.0011002836446955
08005081200,08001007801,.0007425418517297
08005084600,08001007801,.0000163522128655
08001009322,08001007801,.0001449132816464
08031004107,08001007801,.0010942024550636
08031001401,08001007801,.0003277320250322
08031015700,08001007801,.0001937702411069
08005007702,08001007801,.0009558184450598
08031004202,08001007801,.0001095190951236
08005083500,08001007801,.0007177120205435
08005007301,08001007801,.0001863165422414
08001009202,08001007801,.0003641146054537
08005082600,08001007801,.0011129549405868
08059010307,08001007801,.0000233682475825
08031006810,08001007801,.0008028073706109
08005004952,08001007801,.002862964355652
08001009501,08001007801,.0007585097694007
08001009001,08001007801,.000259016367916
08001008802,08001007801,.002165778614287
08031003102,08001007801,.0005163395949815
08005081600,08001007801,.0001612895993137
08005007201,08001007801,.0022167276930248
08005082200,08001007801,.0002688055906147
08031004503,08001007801,.0027838120306328
08031980100,08001007801,.0008347506691944
08005080200,08001007801,.0002743093815316
08031000600,08001007801,.0000199673328622
08031015600,08001007801,.0015358669956864
08059010701,08001007801,1.54265979081e-06
08031002402,08001007801,.0002064658918305
08001008000,08001007801,.0018151215190688
08031007006,08001007801,.000726075833905
08031002702,08001007801,.0008684629133708
08031006813,08001007801,.0005177727908729
08005005612,08001007801,.000075737526343
08005006856,08001007801,.0006413250305402
08005007202,08001007801,.0008475960721694
08031008390,08001007801,.0004956503932687
08005081000,08001007801,.0012123455704355
08005083100,08001007801,.0006367345779332
08031008305,08001007801,9.90880790607e-06
08005082900,08001007801,.0001374494933002
08001007801,08001007801,.0301238132508789
08005087200,08001007801,.0013336934075848
08031008312,08001007801,.0001752930775102
08001009207,08001007801,.000363793310037
08059011732,08001007801,.000179885204447
08031004101,08001007801,.0004496106554315
08005081400,08001007801,.0001040358538472
08031004102,08001007801,.000246701600085
08005082400,08001007801,7.86115297155e-06
08001008901,08001007801,.0000751708357228
08001007802,08001007801,.0019498147177746
